ID,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,socialgrade_matrix,education_age,profile_education_level,pvbyregion_w8,bpcagegeneduc_w8,Socgrade_matrix_w8,threeway_attention_w8,respdate,W8
1884,4,2,9,11,1,2,9,1,7,1,2,2,2,2,1,4,2, ,68,1,6,3,2,4,16,8,1,6,5,16,24,10,4,3,5/1/2016,.843014159443599
1885,8,3,2,2,1,4,4,2,99,1,2,2,2,2,5,1,2, ,30,5,3,7,1,3,16,2,2,5,1,5,18,7,4,2,5/1/2016,1.13719689433537
1886,9,3,1,10,1,2,3,2,99,1,2,2,2,2,2,4,1,1,42,7,1,3,2,4,22,6,1,3,3,4,19,16,2,1,4/29/2016,1.0957944415642
1887,8,1,9,9,1,3,7,2,99,7,2,2,2,2,3,1,1,2,22,9, ,7,2,1,22,5,2,2,4,5,2,18,1,2,5/9/2016,1.04080364176027
1888,9,2,9,7,4,4,3,2,99,3,2,1,2,1,3,3,2, ,19,7,1,2,2,3,22,5,1,3,3,5,18,18,2,1,5/5/2016,1.37698559923546
1889,2,1,9,11,1,3,8,1,5,1,2,2,2,2,2,2,1,7,32,1,1,2,2,4,16,6,1,3,5,18,23,15,2,2,5/1/2016,.532512774435544
1890,1,2,9,11,2,3,8,1,8,1,2,2,2,2,5,3,1,1,25,2,1,1,1,3,21,2,1,2,5,16,13,5,1,2,4/29/2016,1.06537537406905
1891,8,1,9,11,1,3,4,2,99,1,2,2,2,2,2,2,1,1,69,1,6,3,2,3,16,8,1,4,1,1,13,10,3,2,5/8/2016,.982671317905867
1892,7,1,9,5,1,2,4,2,99,1,2,2,2,2,3,4,1,7,19,4,5,4,1,1,22,1,2,2,6,16,5,8,1,2,5/5/2016,.744026443504895
1893,1,2,9,11,3,3,8,1,14,1,2,2,2,2,2,4,2, ,54,7,1,1,1,1,21,3,1,1,2,18,6,3,1,2,4/30/2016,.898014218674238
1894,7,1,9,11,1,1,6,1,4,1,2,2,2,2,2,4,1,99,58,1,2,1,1,3,1,3,1,1,5,17,18,2,1,2,5/5/2016,.989459494400818
1895,1,1,9,11,2,1,9,1,18,7,2,2,2,2,5,2,2, ,20,4,5,9,1,1,2,1,2,1,6,20,6,9,1,3,5/1/2016,1.04866432519859
1896,2,1,9,8,1,2,7,2,99,1,2,1,2,1,3,3,1,2,55,1,3,6,1,4,2,3,2,4,2,15,20,3,3,2,5/10/2016,1.02934202657943
1897,2,1,9,11,1,1,6,1,4,1,2,2,2,2,2,3,1,7,20,8,5,7,2,3,21,5,2,2,6,11,17,18,1,2,5/9/2016,.712787399329735
1898,2,3,3,1,3,3,6,2,99,1,2,2,2,2,2,2,2, ,18,2,3,9,1,4,16,1,2,3,6,11,24,9,2,2,5/3/2016,1.10030179757774
1899,9,3,3,5,3,3,5,2,99,1,2,2,2,2,3,3,2, ,18,8,3,9,1,2,2,1,2,6,6,11,12,9,4,2,5/11/2016,1.4723189540318
1900,7,1,9,11,3,1,4,2,99,4,2,2,2,2,5,1,1,99,22,7,5,8,1,6,22,1,2,3,6,11,35,9,2,2,5/11/2016,.925006075192475
1901,9,1,9,1,4,3,6,1,8,7,2,2,1,2,5,2,2, ,30,4,1,7,1,5,22,2,2,5,5,15,29,6,4,2,5/7/2016,.955641350346395
1902,2,2,9,10,1,2,8,1,7,1,2,2,2,2,2,2,2, ,33,1,3,3,1,4,2,2,1,1,5,16,24,5,1,2,4/30/2016,.973405404675638
1903,4,2,9,11,1,2,8,1,9,1,2,2,2,2,2,5,1,6,49,2,4,2,2,1,22,6,1,6,5,18,4,15,4,2,5/6/2016,1.0485876837456
1904,1,2,9,11,3,3,8,1,16,1,2,2,2,2,1,1,1,6,47,4, ,2,1,3,1,2,1,2,3,11,16,6,1,2,5/1/2016,.892385978758918
1905,3,1,9,11,3,1,8,2,99,1,2,2,2,2,5,3,1,3,22,4,5,2,2,4,12,5,1,3,6,16,21,17,2,2,4/30/2016,.901005411197985
1906,2,3,3,6,4,2,3,2,99,3,2,1,2,1,1,3,2, ,66,1,6,3,2,6,95,8,1,5,3,18,35,10,4,1,5/3/2016,.909207500302354
1907,4,2,9,10,1,2,8,2,99,1,2,2,2,2,4,2,1,1,61,4,2,3,1,6,21,3,1,2,2,9,30,4,1,2,4/29/2016,.830941560982255
1908,1,3,2,11,1,3,5,2,99,5,2,2,2,2,5,3,1,1,28,4,2,4,2,1,22,6,2,4,5,11,1,15,3,2,4/29/2016,1.09667963509168
1909,2,1,9,9,1,2,5,2,99,1,2,2,2,2,2,4,1,1,36,2,1,1,2,4,2,6,1,2,5,17,19,14,1,2,5/2/2016,.965949102479731
1910,2,1,9,11,1,1,7,1,4,3,2,2,2,2,5,4,1,2,25,4,4,7,2,4,2,6,2,4,5,16,20,14,3,2,5/4/2016,.99669533371122
1911,4,2,9,11,1,2,4,2,99,1,2,2,2,2,4,2,2, ,45,2,2,3,2,1,16,6,1,3,2,11,6,15,2,2,5/9/2016,.813160062309604
1912,4,3,3,11,1,2,8,1,8,5,2,2,2,2,4,4,99, ,26,8,1,3,2,1,2,6,1,4,4,18,6,15,3,2,4/29/2016,.939727472682335
1913,2,1,9,8,1,3,3,2,99,1,1,1,2,2,2,2,1,1,36,2,1,2,2,4,1,6,1,1,5,17,19,14,1,1,5/6/2016,1.20728856883762
1914,4,1,9,6,2,4,4,2,99,3,1,1,1,1,2,3,99, ,30,2,5,9,2,1,2,6,2,3,4,11,6,15,2,2,4/29/2016,.813160062309604
1915,2,1,9,11,1,1,11,1,9,6,2,2,2,2,3,3,1,2,40,2,2,3,2,4,2,6,1,4,2,14,20,15,3,3,5/8/2016,.938947734443587
1916,1,2,9,11,3,2,11,1,13,5,2,2,2,2,2,4,1,1,50,2,1,2,1,1,23,3,1,1,2,11,1,3,1,3,5/7/2016,1.02099246228594
1917,9,3,3,8,1,3,7,1,4,1,2,2,2,2,5,3,2, ,35,4,5,1,2,2,12,6,1,3,5,17,12,14,2,2,4/30/2016,1.06785652191726
1918,2,1,9,11,3,2,6,2,99,1,2,2,2,2,2,4,2, ,25,4,4,9,2,4,1,6,2,5,2,9,24,16,4,2,5/4/2016,.929111976377143
1919,2,1,9,11,3,1,7,1,18,1,2,2,2,2,5,2,1,3,23,1,5,8,2,1,21,5,2,3,6,18,3,18,2,2,5/10/2016,1.00265495906942
1920,3,3,4,6,3,2,8,1,13,5,2,2,2,2,5,3,1,3,43,1,2,1,1,1,21,2,1,1,5,15,3,6,1,2,5/9/2016,.873346051907702
1921,1,1,9,11,2,1,9,1,14,1,2,2,2,2,5,4,1,1,32,4,1,2,2,2,22,6,1,1,5,16,7,14,1,3,5/1/2016,.999685591011332
1922,2,2,9,9,2,3,7,2,99,3,2,2,2,2,5,2,2, ,18,4,1,3,1,4,1,1,1,4,2,3,24,9,3,2,5/8/2016,1.27156248240814
1923,9,1,9,8,1,2,3,2,99,1,2,2,2,2,1,3,2, ,20,7, ,9,2,3,21,5,2,3,6,11,18,18,2,1,4/30/2016,1.37698559923546
1924,2,1,9,11,4,2,8,1,4,7,2,2,2,2,5,2,1,2,24,4, ,8,2,4,2,5,2,3,5,11,20,18,2,2,5/3/2016,1.02293110419362
1925,1,1,9,6,1,3,1,2,99,7,2,2,2,2,5,3,1,7,36,7,1,4,1,6,99,2,2,3,3,9,35,7,2,1,5/10/2016,1.02656247743078
1926,3,1,9,11,3,1,8,2,99,1,2,2,2,2,3,2,1,7,18,8,2,7,2,4,2,5,2,1,6,11,23,18,1,2,5/10/2016,.675382441637071
1927,2,1,9,10,1,3,5,2,99,1,2,1,2,2,4,3,1,2,25,4,5,1,2,5,16,6,1,1,5,17,26,14,1,2,5/8/2016,.846624587964004
1928,4,2,9,7,1,2,5,2,99,7,2,2,2,2,5,3,2, ,22,5,1,3,2,2,22,5,1,3,5,16,12,17,2,2,5/3/2016,1.09670399378925
1929,2,1,9,7,1,3,7,2,99,6,2,2,2,2,2,2,2, ,21,7,5,8,1,4,22,1,2,5,6,11,24,9,4,2,5/8/2016,1.22549551988906
1930,2,1,9,11,1,3,10,1,4,1,2,2,2,2,4,3,1,2,23,4,1,3,1,1,22,1,1,2,3,11,2,9,1,3,5/7/2016,1.05830176701683
1931,4,2,9,11,3,3,6,2,99,4,2,2,2,2,1,2,1,1,68,5,6,3,2,2,24,8,1,5,3,11,7,10,4,2,5/11/2016,.96610697744634
1932,3,1,9,11,3,3,8,1,4,1,2,2,2,2,3,3,1,1,33,2,1,1,2,1,22,6,1,3,5,17,1,14,2,2,4/29/2016,.981378117111978
1933,2,1,9,11,3,1,8,2,99,1,2,2,2,2,3,3,1,1,24,7,1,4,2,1,22,5,2,4,5,16,1,17,3,2,5/2/2016,1.1647662373546
1934,2,1,9,11,3,1,10,1,4,4,2,2,2,2,1,2,1,2,56,4,1,1,2,1,24,7,1,1,5,17,2,11,1,3,5/9/2016,.909733081415667
1935,2,1,9,2,2,3,7,1,18,1,2,2,2,2,5,3,2, ,19,8,5,9,1,3,21,1,2,4,6,11,18,9,3,2,5/9/2016,1.3288552816522
1936,2,1,9,11,1,3,9,1,5,1,2,1,2,2,2,3,1,2,32,2,1,1,1,1,22,2,1,4,5,16,2,5,3,3,5/5/2016,1.01195802162874
1937,2,2,9,11,1,3,8,2,99,1,2,2,2,2,3,2,1,2,21,7,2,4,1,3,22,1,2,5,4,11,14,9,4,2,5/3/2016,1.31052228345612
1938,5,2,9,11,1,2,5,2,99,3,2,2,2,2,4,3,2, ,18,4,1,3,2,5,2,5,1,4,2,1,29,18,3,2,5/3/2016,1.17710031151292
