ID,Phone_Type,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,education_age,education_ageR,Education_still,pvbyregion_w8,bpcagegeneduc_w8,socgrade_single_w8,threeway_attention_w8,respdate,W8
3403,1,5,3,3,11,1,2,4,2, ,5,1,1,1,1, ,1,1,4,37,1,1,7,1,5,7,2,2,16,1, ,28,7,2,2,5/10/2016,.888305292667638
3406,2,5,1, ,11,1,3,6,1,9,4,1,1,2,1,2, ,1,4,44,3,4,4,2,5,2,6,1,16,1, ,28,16,1,2,5/10/2016,.882638448226453
3480,1,5,3,3,11,1,2,4,2, ,2,2,1,2,2, ,1,1,4,23,2,1,4,2,5,7,5,1,16,1, ,28,18,1,2,5/9/2016,.794611289467154
3563,1,5,2, ,11,2,2,7,1,1,4,2,2,2,2, ,3,1,4,67,2,1,4,2,5,8,8,1,16,1, ,28,10,1,2,5/9/2016,.666021693074604
3600,1,5,3,3,11,1,2,6,2, ,1,2,2,2,2, ,4,1,4,66,2,6,6,1,5,11,4,2,16,1, ,28,1,2,2,5/9/2016,.642044759471835
3697,1,6,2, ,11,1,3,11,1,1,1,2,2,2,2, ,4,1,4,47,3,1,6,1,5,2,2,2,16,1, ,28,7,2,3,5/10/2016,.493788283159515
3698,1,4,2, ,11,1,2,9,2, ,2,2,2,2,2, ,3,1,4,47,3,1,4,2,5,1,6,1,16,1, ,28,16,1,3,5/9/2016,.490638215935282
3784,1,5,2, ,11,3,2,9,2, ,1,2,2,2,2, ,4,1,4,60,1,6,6,1,5,2,3,2,16,1, ,28,4,2,3,5/9/2016,.417975481471872
3793,2,5,2, ,11,1,2,9,1,8,1,2,2,2,2,3, ,1,4,51,1,1,4,2,5,5,7,1,16,1, ,28,13,1,3,5/9/2016,.410302387255414
3251,1,7,2, ,11,1,2,2,2, ,1,1,2,2,2, ,1,1,9,19,6,1,3,2,5,11,5,1,16,1, ,29,18,1,1,5/10/2016,1.25351789088399
3275,2,5,3,3,11,1,2,1,2, ,6,2,1,1,1,5, ,2, ,49,4,3,7,2,5,2,6,2,16,1, ,29,16,2,1,5/10/2016,1.18346113873205
3289,2,5,3,3,6,3,3,3,2, ,6,2,2,2,2,2, ,1,8,22,2,1,6,1,5,7,1,2,16,1, ,29,9,2,1,5/10/2016,1.13518017269297
3482,2,7,1, ,11,1,2,5,2, ,1,2,2,2,2,4, ,2, ,20,1,1,2,1,5,7,1,1,16,1, ,29,9,1,2,5/10/2016,.791289914399483
3560,2,5,3,3,6,2,3,7,2, ,1,2,2,2,2,2, ,2, ,19,6,1,6,1,5,7,1,2,16,1, ,29,9,2,2,5/10/2016,.672559922695453
3630,1,4,2, ,11,1,2,6,2, ,4,2,1,2,1, ,2,1,6,54,3,3,7,2,5,7,7,2,16,1, ,29,13,2,2,5/9/2016,.586358007466539
3674,1,8,1, ,11,1,2,7,1,9,6,2,2,2,2, ,1,1,9,77,1,6,6,2,5,7,8,2,16,1, ,29,10,2,2,5/5/2016,.529085332798913
