ID,Phone_Type,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,education_age,education_ageR,Education_still,pvbyregion_w8,bpcagegeneduc_w8,socgrade_single_w8,threeway_attention_w8,respdate,W8
3911,2,8,1, ,6,1,3,4,1,16,1,2,2,1,2,2, ,1,9,38,2,1,6,1,4,3,2,2,17,2, ,23,6,2,2,5/4/2016,.273599659519617
3947,2,2,3,3,11,3,1,7,2, ,1,2,2,2,2,4, ,1,8,24,5,1,6,1,4,2,1,2,17,2, ,23,9,2,2,5/4/2016,.205687409154716
3454,2,2,1, ,8,3,3,5,2, ,6,2,2,2,2,5, ,2, ,19,5,1,4,1,4,7,1,1,17,2, ,24,9,1,2,5/4/2016,.825078911426588
3509,1,1,1, ,11,1,3,6,2, ,1,2,2,2,2, ,4,1,1,83,1,6,3,2,5,2,8,1,17,2, ,25,10,1,2,5/6/2016,.753863426194889
3843,1,1,1, ,11,3,2,9,2, ,1,2,1,2,2, ,3,1,1,66,2,1,7,2,5,5,8,2,17,2, ,25,10,2,3,5/9/2016,.356177563706461
3120,2,5,1, ,11,2,3,8,1,7,5,2,2,1,2,2, ,1,4,36,2,1,3,2,5,2,6,1,17,2, ,28,15,1,2,5/9/2016,1.93433018223046
3324,1,5,1, ,11,1,3,5,2, ,1,1,2,2,2, ,4,1,4,58,1,1,4,2,5,5,7,1,17,2, ,28,12,1,2,5/10/2016,1.0912399155635
3481,1,5,3,2,11,1,3,7,1,12,1,2,2,1,2, ,1,1,4,22,4,1,1,2,5,2,5,1,17,2, ,28,18,1,2,5/9/2016,.794611289467154
3589,1,5,1, ,11,2,1,10,1,1,1,2,2,2,2, ,3,1,4,52,2,1,1,1,5,8,3,1,17,2, ,28,3,1,3,5/9/2016,.65241861155778
3590,1,5,2, ,11,1,2,9,2, ,5,2,2,2,2, ,1,1,4,52,2,1,4,1,5,7,3,1,17,2, ,28,3,1,3,5/9/2016,.65241861155778
3667,1,5,1, ,11,1,3,9,1,9,1,2,2,2,2, ,3,1,4,48,1,1,6,1,5,1,2,2,17,2, ,28,6,2,3,5/6/2016,.532078078986451
3124,2,7,4, ,1,3,4,1,2, ,2,2,2,2,2,4, ,2, ,52,7,1,2,1,5,7,3,1,17,2, ,29,3,1,1,5/9/2016,1.85149957466715
3168,1,6,3,2,11,1,3,7,2, ,1,1,2,2,2, ,4,1,7,25,3,1,7,2,5,2,6,2,17,2, ,29,15,2,2,5/5/2016,1.53662521634074
3561,1,5,3,1,6,1,1,5,2, ,4,2,2,2,2, ,4,1,9,19,2,3,7,1,5,7,1,2,17,2, ,29,9,2,2,5/9/2016,.672559922695453
3631,1,1,3,3,11,1,2,9,2, ,1,2,2,2,2, ,4,2, ,48,2,1,4,1,5,5,2,1,17,2, ,29,6,1,3,5/9/2016,.585089098027865
3562,1,1,2, ,11,1,3,1,1,7,1,2,2,2,2, ,1,1,1,69,1,6,1,1,6,7,4,1,17,2, ,30,1,1,1,5/5/2016,.670147869324714
3687,2,1,3,2,11,1,3,8,1,7,1,2,2,2,2,1, ,1,1,44,1,1,6,1,6,5,2,2,17,2, ,30,6,2,2,5/10/2016,.503110884609166
3874,2,1,3,3,11,2,1,11,2, ,6,2,2,2,2,1, ,1,1,34,2,1,4,1,6,6,2,1,17,2, ,30,6,1,3,5/9/2016,.329038631271018
3668,1,2,2, ,11,1,2,8,1,7,1,2,2,2,2, ,4,1,2,61,2,1,7,1,6,1,3,2,17,2, ,31,3,2,2,5/9/2016,.531234731431575
3816,2,2,3,2,8,1,3,5,2, ,1,2,2,2,2,1, ,2, ,30,2,1,2,1,6,7,2,1,17,2, ,35,6,1,2,5/9/2016,.383936673554901
3820,1,1,3,1,11,1,4,3,2, ,5,1,1,2,2, ,5,1,9,88,1,6,3,2,6,7,8,1,17,2, ,35,10,1,1,5/9/2016,.383248358485299
3042,2,8,2, ,11,1,2,7,2, ,2,1,2,2,2,1, ,1,1,43,2,1,2,2,1,6,6,1,18,2, ,1,15,1,2,5/4/2016,2.86893078427163
3044,1,1,3,3,11,1,3,7,2, ,2,2,2,2,2, ,2,1,1,46,2,2,3,2,1,1,6,1,18,2, ,1,15,1,2,5/11/2016,2.86893078427163
3045,1,1,2, ,11,1,2,8,2, ,2,2,2,2,2, ,3,1,1,45,2,2,4,2,1,7,6,1,18,2, ,1,15,1,2,5/11/2016,2.86893078427163
3047,1,8,3,1,11,1,2,7,2, ,1,2,2,2,1, ,4,1,1,42,1,1,2,2,1,2,6,1,18,2, ,1,15,1,2,5/10/2016,2.86893078427163
3068,2,8,2, ,9,3,3,6,2, ,1,2,2,2,2,1, ,1,1,49,1,4,9,2,1,2,6,2,18,2, ,1,15,2,2,5/11/2016,2.43845881436852
3137,1,1,2, ,11,3,3,5,2, ,1,2,2,2,2, ,1,1,1,50,2,3,4,1,1,2,3,1,18,2, ,1,3,1,2,5/11/2016,1.74075348395116
3138,1,8,3,3,11,3,2,8,2, ,1,2,2,2,2, ,2,1,1,50,2,1,4,1,1,6,3,1,18,2, ,1,3,1,2,5/11/2016,1.74075348395116
3156,1,1,1, ,11,3,3,8,2, ,2,2,2,2,2, ,3,1,1,58,2,6,2,2,1,6,7,1,18,2, ,1,12,1,2,5/11/2016,1.61848882654362
3161,1,1,1, ,11,3,3,9,2, ,1,2,2,2,1, ,3,1,1,40,2,1,1,2,1,2,6,1,18,2, ,1,15,1,3,5/10/2016,1.59477199805339
3162,1,2,2, ,9,1,2,9,1,11,2,2,2,2,1, ,3,1,1,39,2,1,2,2,1,7,6,1,18,2, ,1,15,1,3,5/10/2016,1.59477199805339
3178,1,8,2, ,11,1,2,7,2, ,1,2,2,2,2, ,1,1,1,59,1,6,6,1,1,10,3,2,18,2, ,1,3,2,2,5/4/2016,1.47956015525174
3199,1,4,2, ,10,3,2,4,2, ,6,1,1,1,1, ,3,1,1,32,4,1,7,1,1,7,2,2,18,2, ,1,6,2,2,5/9/2016,1.41966638186206
3214,1,1,2, ,11,1,3,10,1,13,1,2,2,2,2, ,4,1,1,43,2,1,6,2,1,5,6,2,18,2, ,1,15,2,3,5/10/2016,1.35548262679634
3294,1,1,3,1,11,1,4,5,1,7,1,2,2,2,2, ,6,1,1,83,1,6,3,1,1,6,4,1,18,2, ,1,1,1,2,5/4/2016,1.12036469175371
3367,1,1,2, ,11,1,3,9,1,7,4,2,2,2,1, ,3,1,1,59,1,6,2,1,1,6,3,1,18,2, ,1,3,1,3,5/10/2016,.96764443636586
3376,2,4,1, ,11,1,2,9,1,7,4,2,2,2,2,1, ,1,1,40,5,1,2,1,1,6,2,1,18,2, ,1,6,1,3,5/9/2016,.928473418960614
3388,1,1,1, ,11,1,2,11,1,9,2,1,1,1,1, ,3,1,1,57,2,6,1,2,1,6,7,1,18,2, ,1,12,1,3,5/10/2016,.89968035265422
3502,2,1,1, ,11,1,2,9,2, ,1,2,1,2,2,3, ,1,1,62,2,6,9,2,1,7,7,2,18,2, ,1,12,2,3,5/10/2016,.764686794840483
3503,1,1,1, ,11,1,2,11,1,7,4,1,2,2,2, ,3,1,1,50,4,1,7,2,1,5,7,2,18,2, ,1,12,2,3,5/10/2016,.764686794840483
3609,1,1,2, ,11,3,3,9,1,14,1,2,2,2,2, ,4,1,1,69,1,6,1,1,1,6,4,1,18,2, ,1,1,1,3,5/9/2016,.622784714016774
3028,2,2,3,3,11,1,2,3,2, ,6,2,2,2,2,2, ,1,2,38,2,2,7,2,1,1,6,2,18,2, ,2,15,2,1,5/11/2016,3.21262593116909
3239,1,2,3,2,10,3,2,8,1,4,1,2,2,2,2, ,3,1,2,39,2,1,4,1,1,2,2,1,18,2, ,2,6,1,2,5/10/2016,1.3037726528595
3284,1,2,1, ,11,3,3,8,1,12,1,2,2,2,2, ,2,1,2,52,5,1,7,1,1,6,3,2,18,2, ,2,3,2,2,5/10/2016,1.15489779034269
3313,2,8,2, ,11,1,3,8,2, ,1,2,2,2,2,1, ,1,2,34,2,1,5,1,1,2,2,2,18,2, ,2,6,2,2,5/9/2016,1.108146608042
3314,1,2,1, ,7,3,1,6,2, ,1,2,2,2,2, ,4,1,2,45,4,4,9,1,1,3,2,2,18,2, ,2,6,2,2,5/10/2016,1.108146608042
3532,1,2,1, ,11,3,1,9,1,5,1,2,2,2,2, ,3,1,2,29,2,1,2,1,1,7,2,1,18,2, ,2,6,1,3,5/10/2016,.724736940328793
3007,1,3,1, ,9,1,3,6,1,4,4,2,2,2,2, ,2,1,3,35,1,2,2,2,1,9,6,1,18,2, ,3,15,1,2,5/11/2016,3.9097859695397
3086,1,7,1, ,8,1,3,8,2, ,6,2,2,2,2, ,4,1,3,40,5,1,1,1,1,2,2,1,18,2, ,3,6,1,2,5/10/2016,2.27627043299843
3259,1,3,3,3,11,1,1,9,2, ,1,2,2,2,2, ,2,1,3,53,1,2,1,2,1,7,7,1,18,2, ,3,12,1,3,5/11/2016,1.22608661009263
3400,1,3,1, ,11,3,1,10,1,5,1,2,1,2,2, ,3,1,3,21,5,3,4,2,1,7,5,1,18,2, ,3,18,1,3,5/11/2016,.892802992585757
3083,1,2,2, ,11,1,2,7,2, ,1,2,2,2,2, ,4,1,6,34,3,4,1,2,1,7,6,1,18,2, ,4,15,1,2,5/9/2016,2.31312124488812
3205,1,7,2, ,11,3,2,4,2, ,6,2,1,2,1, ,2,1,6,57,4,2,3,1,1,1,3,1,18,2, ,4,3,1,2,5/9/2016,1.40351028610218
3236,1,4,2, ,11,3,2,8,1,1,1,2,2,2,2, ,4,1,6,51,1,2,4,2,1,7,7,1,18,2, ,4,12,1,2,5/12/2016,1.30493245421484
3486,2,4,2, ,11,1,3,9,1,7,1,2,2,2,2,3, ,1,6,58,2,2,4,1,1,7,3,1,18,2, ,4,3,1,3,5/5/2016,.780178774450259
3679,1,8,1, ,11,1,3,8,2, ,2,2,2,2,2, ,3,1,9,61,2,2,3,1,1,5,3,1,18,2, ,5,3,1,2,5/4/2016,.513879187332483
3805,1,8,3,3,3,1,3,4,2, ,1,1,1,2,1, ,2,1,9,53,1,4,9,2,1,5,7,2,18,2, ,5,12,2,2,5/11/2016,.406096096798033
3926,1,8,2, ,11,1,2,11,2, ,6,2,2,2,2, ,2,1,9,49,2,1,6,1,1,10,2,2,18,2, ,5,6,2,3,5/11/2016,.232963876695919
3929,1,8,2, ,11,2,3,9,1,7,4,2,2,2,2, ,2,1,9,55,1,1,7,2,1,9,7,2,18,2, ,5,12,2,3,5/11/2016,.225739389476663
3930,1,8,3,3,11,2,3,10,2, ,1,2,2,2,2, ,1,1,9,55,1,1,8,2,1,6,7,2,18,2, ,5,12,2,3,5/10/2016,.225739389476663
3965,2,1,1, ,11,1,3,11,2, ,1,2,2,2,2,2, ,1,9,67,2,1,1,1,1,3,4,1,18,2, ,5,1,1,3,5/5/2016,.183849181215261
3981,1,8,2, ,8,4,3,9,1,14,1,2,2,2,2, ,5,1,9,65,2,2,7,1,1,9,4,2,18,2, ,5,1,2,3,5/5/2016,.156263322526481
3006,2,7,2, ,4,1,2,1,2, ,1,2,2,2,2,2, ,2, ,40,2,1,6,2,1,6,6,2,18,2, ,6,15,2,1,5/11/2016,4.39010588865829
3181,1,7,3,2,8,1,3,8,2, ,1,2,2,2,2, ,3,2, ,53,2,1,7,2,1,5,7,2,18,2, ,6,12,2,2,5/11/2016,1.46734020683883
3217,1,2,3,1,11,1,3,6,2, ,1,1,2,2,2, ,4,2, ,18,7,5,4,1,1,1,1,1,18,2,1,6,9,1,2,5/9/2016,1.3393955679082
3415,1,2,1, ,11,1,3,10,1,4,1,2,1,2,2, ,2,2, ,50,2,1,7,1,1,6,3,2,18,2, ,6,3,2,3,5/11/2016,.877277349165105
3194,2,8,3,1,11,1,3,8,1,7,1,2,2,2,2,1, ,1,1,51,1,3,3,2,2,6,7,1,18,2, ,7,12,1,2,5/9/2016,1.43373191501829
3095,1,2,2, ,11,1,3,5,2, ,1,1,2,2,2, ,4,1,2,48,2,4,7,2,2,2,6,2,18,2, ,8,15,2,2,5/9/2016,2.17305067050529
3136,1,2,1, ,11,3,3,3,2, ,1,2,2,2,2, ,2,1,2,23,3,4,4,2,2,7,5,1,18,2, ,8,18,1,1,5/11/2016,1.77268852828185
3166,2,2,2, ,11,1,2,8,2, ,1,1,2,2,2,2, ,1,2,58,2,1,1,1,2,6,3,1,18,2, ,8,3,1,2,5/11/2016,1.55128538698083
3187,1,2,1, ,11,1,2,8,2, ,1,1,1,2,2, ,4,1,2,50,4,4,3,2,2,5,7,1,18,2, ,8,12,1,2,5/10/2016,1.44232833009186
3188,2,2,1, ,9,1,3,6,2, ,2,2,2,2,2,1, ,1,2,55,1,2,3,2,2,7,7,1,18,2, ,8,12,1,2,5/12/2016,1.44232833009186
3189,1,2,2, ,11,1,1,7,2, ,2,2,1,2,2, ,3,1,2,52,2,1,4,2,2,3,7,1,18,2, ,8,12,1,2,5/11/2016,1.44232833009186
3249,1,4,2, ,9,1,3,8,1,5,1,2,2,2,2, ,4,1,6,54,1,1,4,2,2,3,7,1,18,2, ,10,12,1,2,5/10/2016,1.26103208860016
3405,2,7,3,3,6,3,4,1,2, ,2,1,1,2,1,2, ,1,9,52,2,1,4,2,2,2,7,1,18,2, ,11,12,1,1,5/11/2016,.882905906690461
3483,1,8,3,3,11,4,3,6,2, ,1,2,2,2,2, ,4,1,9,43,2,2,7,2,2,7,6,2,18,2, ,11,15,2,2,5/10/2016,.788109076006888
3021,2,7,3,1,6,1,2,1,1,12,1,1,2,2,2,3, ,2, ,27,1,1,6,1,2,11,2,2,18,2, ,12,6,2,1,5/10/2016,3.24492166728578
3088,2,7,4, ,1,1,3,8,1,5,1,2,2,2,2,5, ,2, ,36,5,1,1,1,2,2,2,1,18,2, ,12,6,1,2,5/9/2016,2.26190859398851
3185,1,8,1, ,11,1,3,4,2, ,4,2,2,2,2, ,4,2, ,18,1,5,7,1,2,6,1,2,18,2,1,12,9,2,2,5/10/2016,1.44531516665908
3186,1,2,1, ,9,3,3,7,1,12,4,1,2,2,2, ,2,2, ,18,3,5,9,1,2,6,1,2,18,2,1,12,9,2,2,5/11/2016,1.44531516665908
3213,1,2,1, ,6,3,3,4,2, ,1,1,2,1,2, ,2,2, ,18,4,5,9,2,2,1,5,2,18,2,1,12,18,2,2,5/11/2016,1.35651204374339
3245,1,1,2, ,11,1,2,8,2, ,2,2,2,2,1, ,1,1,1,60,1,1,1,2,3,7,7,1,18,2, ,13,12,1,2,5/5/2016,1.27396386966514
3296,2,1,3,2,6,3,2,4,2, ,1,1,1,2,1,5, ,1,1,37,1,1,6,1,3,7,2,2,18,2, ,13,6,2,2,5/5/2016,1.11746441977786
3579,1,1,1, ,11,1,2,6,2, ,1,1,1,2,2, ,4,1,1,65,1,6,7,2,3,7,8,2,18,2, ,13,10,2,2,5/5/2016,.66087693810946
3704,1,1,1, ,11,1,3,9,1,13,1,2,2,2,2, ,4,1,1,67,1,6,4,1,3,7,4,1,18,2, ,13,1,1,3,5/5/2016,.49021359383214
3241,1,1,1, ,9,3,2,7,2, ,1,2,2,2,2, ,1,1,2,55,1,1,2,1,3,3,3,1,18,2, ,14,3,1,2,5/5/2016,1.29170545226727
3346,1,2,2, ,11,1,2,5,2, ,1,2,2,2,2, ,4,1,2,54,4,1,7,2,3,1,7,2,18,2, ,14,12,2,2,5/5/2016,1.02077794802591
3735,1,8,2, ,11,1,2,11,1,14,1,1,1,1,1, ,4,1,2,68,1,6,2,1,3,5,4,1,18,2, ,14,1,1,3,5/7/2016,.462130001807165
3802,1,2,1, ,11,3,3,11,1,9,1,2,2,2,2, ,2,1,2,72,1,6,3,2,3,5,8,1,18,2, ,14,10,1,3,5/5/2016,.407457754669661
3803,1,2,2, ,11,1,2,11,1,9,1,2,2,2,2, ,1,1,2,78,1,6,4,2,3,5,8,1,18,2, ,14,10,1,3,5/5/2016,.407457754669661
3368,1,4,2, ,11,3,3,9,2, ,1,2,2,2,2, ,4,1,6,60,1,1,7,1,3,10,3,2,18,2, ,16,3,2,3,5/9/2016,.965620287571537
3146,2,6,1, ,7,3,3,4,2, ,2,2,1,2,2,4, ,2, ,65,5,2,7,2,3,2,8,2,18,2, ,18,10,2,2,5/5/2016,1.67607108677907
3618,2,1,3,1,9,1,2,1,2, ,1,1,1,2,1,1, ,1,1,21,5,1,7,1,4,11,1,2,18,2, ,19,9,2,1,5/10/2016,.617271607288683
3637,2,4,2, ,11,3,2,8,1,7,4,2,2,2,2,4, ,1,1,32,2,1,2,1,4,1,2,1,18,2, ,19,6,1,2,5/9/2016,.572341159774933
3649,1,1,1, ,9,1,2,4,2, ,2,2,1,2,2, ,3,1,1,50,2,2,4,2,4,7,7,1,18,2, ,19,12,1,2,5/4/2016,.554592178892179
3779,1,2,1, ,11,1,3,7,2, ,1,2,2,2,2, ,2,1,1,24,2,1,4,1,4,1,1,1,18,2, ,19,9,1,2,5/9/2016,.430276011722414
3808,1,4,2, ,9,1,3,5,2, ,2,2,2,2,1, ,4,1,1,19,2,2,3,2,4,7,5,1,18,2, ,19,18,1,2,5/5/2016,.403838972633577
3839,2,1,3,2,8,3,2,4,2, ,4,2,2,1,2,4, ,1,1,20,5,2,8,1,4,10,1,2,18,2, ,19,9,2,2,5/10/2016,.365714760059027
3885,2,1,1, ,1,3,3,9,2, ,1,2,2,2,2,4, ,1,1,50,2,1,1,2,4,7,7,1,18,2, ,19,12,1,3,5/5/2016,.308284913001555
3460,2,2,3,2,6,1,2,6,2, ,1,2,2,2,2,5, ,1,2,19,5,2,7,2,4,7,5,2,18,2, ,20,18,2,2,5/4/2016,.815861586082432
3521,1,2,1, ,11,1,1,11,1,9,1,2,2,2,2, ,2,1,2,53,1,1,4,2,4,6,7,1,18,2, ,20,12,1,3,5/6/2016,.732765771006824
3522,1,2,1, ,11,1,4,9,1,13,2,2,1,2,1, ,4,1,2,63,2,1,3,2,4,7,7,1,18,2, ,20,12,1,3,5/4/2016,.732765771006824
3685,1,2,1, ,8,1,2,9,1,17,1,2,2,2,2, ,5,1,2,87,2,6,3,1,4,6,4,1,18,2, ,20,1,1,3,5/7/2016,.50724162175092
3154,2,6,3,1,11,2,3,8,2, ,1,2,2,2,2,3, ,1,3,30,7,1,4,1,4,5,2,1,18,2, ,21,6,1,2,5/9/2016,1.61936251177173
3666,1,3,1, ,11,3,3,10,1,13,1,2,2,2,2, ,2,1,3,70,1,6,1,2,4,10,8,1,18,2, ,21,10,1,3,5/9/2016,.532365011880696
3163,1,4,2, ,11,1,2,8,2, ,1,1,2,2,2, ,2,1,6,44,3,2,3,2,4,2,6,1,18,2, ,22,15,1,2,5/9/2016,1.59240449884415
3484,2,8,3,3,9,1,2,7,2, ,4,2,2,2,2,4, ,1,6,30,5,1,6,1,4,5,2,2,18,2, ,22,6,2,2,5/9/2016,.78798803572701
3814,2,7,2, ,11,1,3,9,1,1,4,2,2,2,2,3, ,1,6,21,6,1,1,1,4,2,1,1,18,2, ,22,9,1,3,5/10/2016,.387431524494
3665,2,8,2, ,1,1,2,1,2, ,2,1,1,2,1,4, ,1,8,40,2,1,2,1,4,2,2,1,18,2, ,23,6,1,1,5/9/2016,.543317896963231
3946,2,6,2, ,11,1,3,7,1,7,1,2,2,2,2,2, ,1,7,21,1,1,6,1,4,7,1,2,18,2, ,23,9,2,2,5/4/2016,.205687409154716
3968,1,8,2, ,11,1,3,7,1,7,4,2,2,2,2, ,5,1,9,75,7,7,8,1,4,11,4,2,18,2, ,23,1,2,2,5/9/2016,.183520262647648
3996,1,8,2, ,11,1,2,11,1,7,2,2,2,2,2, ,4,1,9,75,1,6,6,1,4,9,4,2,18,2, ,23,1,2,3,5/9/2016,.102014652131169
3123,2,7,2, ,4,2,2,2,2, ,6,2,1,1,2,5, ,2, ,26,2,1,2,1,4,7,2,1,18,2, ,24,6,1,1,5/9/2016,1.85241011695564
3274,2,2,1, ,4,1,3,1,2, ,2,1,1,2,1,2, ,2, ,18,7,5,8,1,4,2,1,2,18,2,1,24,9,2,1,5/4/2016,1.18365368256888
3308,2,2,3,2,6,3,3,1,1,4,1,1,1,2,2,3, ,2, ,18,3,2,7,2,4,3,5,2,18,2,1,24,18,2,1,5/10/2016,1.11092757695018
3309,2,7,1, ,5,3,3,1,2, ,1,2,2,2,2,4, ,2, ,18,5,5,9,2,4,7,5,2,18,2,1,24,18,2,1,5/10/2016,1.11092757695018
3385,1,8,2, ,6,3,3,6,2, ,1,2,1,1,2, ,4,2, ,54,3,2,7,2,4,2,7,2,18,2, ,24,12,2,2,5/9/2016,.903893882851812
3455,2,1,1, ,6,3,3,5,2, ,6,2,2,2,2,4, ,2, ,18,2,5,2,1,4,5,1,1,18,2, ,24,9,1,2,5/4/2016,.825078911426588
3456,2,7,3,1,8,3,2,4,2, ,1,2,1,2,2,3, ,2, ,20,6,1,3,1,4,7,1,1,18,2, ,24,9,1,2,5/10/2016,.825078911426588
3457,2,7,3,3,3,3,3,7,1,13,1,2,2,2,2,5, ,2, ,18,6,5,1,1,4,5,1,1,18,2,1,24,9,1,2,5/10/2016,.825078911426588
3496,2,1,1, ,11,3,3,5,2, ,2,1,1,2,1,3, ,2, ,18,1,5,4,2,4,7,5,1,18,2,1,24,18,1,2,5/10/2016,.774384373877438
3516,1,8,2, ,11,1,3,6,2, ,1,2,2,2,2, ,4,2, ,84,7,6,1,1,4,6,4,1,18,2, ,24,1,1,2,5/7/2016,.736159297024095
3547,2,1,1, ,8,3,3,7,2, ,1,2,2,2,2,3, ,2, ,21,2,3,7,1,4,5,1,2,18,2, ,24,9,2,2,5/4/2016,.701279011382123
3549,2,1,1, ,11,2,3,5,1,7,4,1,1,2,1,3, ,2, ,18,6,5,6,1,4,5,1,2,18,2,1,24,9,2,2,5/10/2016,.701279011382123
3581,2,8,3,1,6,1,3,5,2, ,1,2,2,2,2,3, ,2, ,19,6,2,7,2,4,7,5,2,18,2, ,24,18,2,2,5/5/2016,.6581909931543
3582,2,2,3,3,8,1,3,8,1,7,1,1,1,2,2,1, ,2, ,18,5,5,8,2,4,7,5,2,18,2,1,24,18,2,2,5/10/2016,.6581909931543
3583,2,2,1, ,10,3,3,7,2, ,1,2,2,2,2,3, ,2, ,18,2,5,7,2,4,7,5,2,18,2,1,24,18,2,2,5/10/2016,.6581909931543
3584,2,8,2, ,6,1,3,4,2, ,6,2,2,1,2,5, ,2, ,19,2,2,7,2,4,2,5,2,18,2, ,24,18,2,2,5/4/2016,.6581909931543
3585,2,8,2, ,10,1,3,4,2, ,1,2,2,2,2,3, ,2, ,18,2,2,7,2,4,7,5,2,18,2,1,24,18,2,2,5/10/2016,.6581909931543
3677,2,1,2, ,11,3,3,9,2, ,1,2,2,2,2,3, ,2, ,32,2,1,6,1,4,7,2,2,18,2, ,24,6,2,3,5/10/2016,.518533974424314
3835,2,1,1, ,11,2,3,9,2, ,1,2,2,2,2,1, ,2, ,18,2,5,9,2,4,5,5,2,18,2, ,24,18,2,3,5/4/2016,.365873087983863
3836,1,3,1, ,11,3,3,11,1,4,1,1,1,1,1, ,2,2, ,18,2,5,9,2,4,7,5,2,18,2,1,24,18,2,3,5/10/2016,.365873087983863
3244,1,1,2, ,11,1,3,7,2, ,1,2,2,2,2, ,4,1,1,32,2,1,2,1,5,5,2,1,18,2, ,25,6,1,2,5/6/2016,1.27469352850241
3257,1,1,1, ,11,1,3,8,1,7,4,2,2,2,2, ,3,1,1,54,1,1,3,2,5,7,7,1,18,2, ,25,12,1,2,5/9/2016,1.23516376433578
3106,1,8,1, ,11,3,2,8,2, ,2,2,1,2,1, ,4,1,2,51,5,3,7,1,5,1,3,2,18,2, ,26,3,2,2,5/9/2016,2.04570961912306
3121,1,2,1, ,11,1,1,7,2, ,4,2,2,2,2, ,3,1,2,50,1,1,8,2,5,10,7,2,18,2, ,26,12,2,2,5/6/2016,1.90202587065244
3279,1,2,1, ,11,1,2,8,1,3,1,1,1,2,1, ,2,1,2,68,1,2,7,2,5,7,8,2,18,2, ,26,10,2,2,5/5/2016,1.16087257492729
3292,2,5,3,3,11,1,3,4,1,7,1,2,2,2,2,4, ,1,4,27,2,1,4,1,5,7,2,1,18,2, ,28,6,1,2,5/10/2016,1.12616358945757
3325,1,5,1, ,11,1,2,6,1,9,2,2,1,2,2, ,2,1,4,51,2,1,1,2,5,7,7,1,18,2, ,28,12,1,2,5/9/2016,1.0912399155635
3370,1,5,2, ,11,1,3,6,2, ,2,1,1,1,1, ,2,1,4,34,3,3,7,1,5,2,2,2,18,2, ,28,6,2,2,5/9/2016,.95718709778176
3828,1,5,1, ,11,2,1,9,1,5,1,2,2,2,2, ,3,2, ,18,3,2,7,1,5,8,1,2,18,2, ,29,9,2,3,5/9/2016,.373860442227423
3629,1,1,1, ,11,3,3,8,2, ,1,1,1,2,2, ,2,1,1,40,1,1,2,1,6,7,2,1,18,2, ,30,6,1,2,5/10/2016,.591927284665317
3873,1,1,1, ,11,1,1,10,1,7,1,1,1,2,1, ,3,1,1,45,1,1,2,1,6,1,2,1,18,2, ,30,6,1,3,5/6/2016,.329038631271018
3344,1,2,3,2,9,1,2,7,1,7,5,2,1,2,1, ,2,1,2,33,2,1,2,2,6,5,6,1,18,2, ,31,15,1,2,5/10/2016,1.03008699529287
3633,1,2,3,2,11,1,2,8,1,7,2,2,1,2,1, ,3,1,2,55,1,1,3,2,6,1,7,1,18,2, ,31,12,1,2,5/5/2016,.581116944817709
3869,2,2,2, ,11,2,3,9,2, ,1,2,2,2,2,3, ,1,2,35,2,1,2,1,6,2,2,1,18,2, ,31,6,1,3,5/9/2016,.333367538732467
3949,1,2,1, ,11,1,3,11,1,9,1,2,1,2,1, ,4,1,2,69,1,6,2,2,6,2,8,1,18,2, ,31,10,1,3,5/4/2016,.197156092277548
3112,2,8,2, ,11,1,2,5,1,12,4,2,2,1,2,1, ,1,3,32,2,3,2,1,6,1,2,1,18,2, ,32,6,1,2,5/9/2016,1.992
3827,2,4,2, ,11,1,2,7,2, ,4,2,2,2,2,4, ,1,6,39,2,1,6,1,6,2,2,2,18,2, ,34,6,2,2,5/9/2016,.374314648295349
3975,1,4,2, ,11,1,2,10,1,13,1,2,2,2,2, ,1,1,6,67,1,2,1,1,6,6,4,1,18,2, ,34,1,1,3,4/30/2016,.164205791000803
3817,2,2,2, ,9,1,3,7,2, ,1,2,2,2,2,1, ,1,7,30,2,1,2,1,6,6,2,1,18,2, ,35,6,1,2,5/10/2016,.383936673554901
3829,1,8,2, ,11,1,2,8,1,5,1,2,2,2,2, ,4,1,9,61,1,6,2,2,6,1,7,1,18,2, ,35,12,1,2,5/2/2016,.372030340133425
3877,2,2,1, ,10,3,2,6,1,11,1,2,2,2,2,3, ,2, ,30,2,1,6,1,6,1,2,2,18,2, ,35,6,2,2,5/9/2016,.326328460387365
3043,2,1,2, ,11,3,3,8,2, ,1,2,2,2,2,4, ,1,1,42,2,1,1,2,1,2,6,1,19,2, ,1,15,1,2,5/11/2016,2.86893078427163
3238,1,2,2, ,11,1,2,7,1,7,1,2,2,2,2, ,3,1,2,48,1,1,2,1,1,5,2,1,19,2, ,2,6,1,2,5/10/2016,1.3037726528595
3328,1,2,3,3,7,1,2,6,1,17,1,1,1,2,1, ,5,1,2,53,3,2,6,2,1,3,7,2,19,2, ,2,12,2,2,5/11/2016,1.07378166219543
