Party,Votes,Vote Share
Conservative,11334576,36.9
Labour,9347304,30.4
UKIP,3881099,12.6
Liberal Democrat,2415862,7.9
Scotish National Party,1254436,4.7
Green Party,1157613,3.8
Democratic Unionist Party,184260,0.6
Paid Cymru,181704,0.6
Sinn Fein,176232,0.6
Ulster Unionist Party,114935,0.4
Social Democratic & Labour Party,99809,0.3
Alliance Party,61556,0.2
TUSC,36368,0.1
National Health Action,20210,0.1
Traditional Unionist Voice,16538,0.1
