Party,Votes,Vote Share
Conservative,11334576,0.369
Labour,9347304,0.304
Liberal Democrat,2415862,0.079
Scotish National Party,1254436,0.047
Paid Cymru,181704,0.006
UKIP,3881099,0.126
Green Party,1157613,0.037
BNP,1667,0
Other,708332,0.024
